"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
8.822,"W4DEX","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","http://w4dex.com/vlf/8822hz_dec14/","IL","1","2014-12-18","2014-12-18"
11.905,"","Other","Y","","1045","","","No ID","","RSE","as","","","","","RSDN-20/Alpha navigation system","OH","1","2020-05-10","2020-05-10"
12.091,"NONE","Other","Y","","","","","RSDN-20/ALPHA - REVDA","","RUS","eu","KP78ia","68.0208","34.7083","","","ITA  POL  SVN  SWE  IL","6","2010-11-06","2021-02-27"
14.881,"NONE","Other","Y","","","","","RSDN-20/ALPHA","","RUS","eu","","","","","1 + 2 pulses","CZE  DEU  ENG  ESP  FRA  GRC  ITA  POL  SVN  SWE  NW  TA  IL","23","2004-10-21","2021-11-01"
15.1,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","","IL","1","2011-02-09","2011-02-09"
16,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","FSK","GRC  IL","2","2010-04-04","2011-02-09"
16.4,"JXN","Other","Y","","","","","Navy Noviken / Helgeland","","NOR","eu","JP66mk","66.4375","13.0417","","FSK 100/45 MSK 200/200 encrypted","GRC  POL  SVN  TA  BRA  IL","10","2004-10-20","2021-02-11"
17,"VTX2","Other","Y","","","","","Indian Navy/Vijayanarayanam","","IND","as","MJ88uk","8.4375","77.7083","","MSK","GRC  IL","3","2010-04-07","2011-11-01"
17.2,"SAQ","Other","Y","","","","","Grimeton","","SWE","eu","JO67ec","57.1042","12.375","200000","On Sunday September 25th 2005 there will be transmissions on VLF 17.2 kHz with the Alexanderson alternator at 09:30 UTC and 12:30 UTC. The station will be open to visitors and there will also be a \''flea market\'' with surplus from Grimeton Radio and The Radio Museum in Gothenburg. (Info via Lennart Deimert)

VLF Historically preserved station (a UNESCO World Heritage Object) with Anderson Generator used as transmitter.   Transmits at 15 minutes past each hour when on the air, by arrangement.
Web sites: http://www.alexander.n.se/ http://www.antiquewireless.org/otb/alexalt1004.htm http://www.wireless.org.uk/mechrx.htm
Thanks to Bo who visited and obtained exact location (2005-08-02)","CZE  DEU  ENG  ESP  FIN  FRA  GRC  HOL  IRL  ITA  NOR  POL  SCT  SVN  TA  IL","42","2005-07-02","2021-12-27"
18.1,"RDL","Other","Y","","","","","Several TX","","RUS","eu","","","","","","GRC  POL  SVN  TA  BRA  IL","12","2004-09-28","2021-02-11"
18.3,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  POL  SVN  TA  BRA  IL","7","2001-01-12","2019-12-07"
19.2,"VTX4","Other","Y","","","","","Indian Navy/Vijayanarayanam","","IND","as","MJ88uk","8.4375","77.7083","","","TA  IL","3","2010-12-02","2017-01-18"
19.6,"GQD","Other","Y","","","","","Anthorn, Cumbria","","ENG","eu","IO85ga","55.0208","-3.4583","","","GRC  POL  SVN  BRA  IL","8","2004-10-10","2021-02-11"
20.2,"JJI","Other","Y","","","","","Japanese Navy, Ebino","","JPN","as","PM52jb","32.0625","130.792","","","GRC  IL","3","2008-08-21","2009-11-29"
20.27,"ICV","Other","Y","","","","","Isola di Tavolara","","SAR","eu","JN40uw","40.9375","9.7083","","FSK 200/85","GRC  POL  SVN  TA  BRA  IL","11","2002-06-07","2021-02-11"
20.5,"BETA","Other","Y","","","","","RJH63","","RSE","as","","","","","","TA  IL","2","2009-11-21","2017-01-18"
20.9,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06mo","46.6042","1.0417","","French Navy, MSK signal","GRC  POL  BRA  IL  NB","9","2001-03-10","2021-02-11"
21.1,"RDL","Other","Y","","","","","Several TX","","RUS","eu","","","","","","GRC  POL  SVN  TA  BRA  IL","10","2004-10-19","2021-02-11"
21.1,"RJS","Other","Y","","","","","Vladivostok","","RSE","as","PN53wd","43.1458","131.875","","F1B 100 Hz","GRC  IL","2","2009-11-25","2010-04-12"
21.4,"NPM","Other","Y","","","","","Lualualei / Hawaii","","HWA","oc","BL01wk","21.4375","-158.125","","MSK","GRC  POL  SVN  TA  BRA  ON","10","2008-09-25","2022-10-21"
21.75,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  POL  TA  BRA  IL","10","2008-08-20","2021-02-11"
22.1,"GBZ","Other","Y","","","","","Skelton","","ENG","eu","","","","","","BRA  IL","3","2009-05-22","2021-02-11"
22.6,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  IL","2","2004-09-30","2009-06-27"
23.4,"DHO38","Other","Y","","","","","German Navy - Rhauderfehn","","DEU","eu","JO33tb","53.0625","7.625","","CW/MSK","GRC  POL  SVN  TA  BRA  IL","12","2001-03-10","2021-02-11"
24,"NAA","Other","Y","","","","","Cutler","ME","USA","na","FN64ip","44.6458","-67.2917","1000000","US Navy, MSK signal","GRC  POL  SVN  TA  BRA  NB  ON","14","2002-06-07","2022-10-21"
25.2,"NML","Other","Y","","","","","Lamoure","ND","USA","na","EN06ui","46.3542","-98.2917","","US Navy; MSK signal. output stated as 500kW","GRC  POL  SVN  TA  BRA  IL  NB  ON","13","2004-10-03","2022-10-21"
26,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","MSK","GRC  POL  IL","3","2010-04-08","2012-01-01"
26.7,"TBB","Other","Y","","","","","Turkish Navy, Bafa","","TUR","as","KM37sl","37.4792","27.5417","","MSK/ FSK +/- 25Hz","GRC  POL  SVN  TA  IL","6","2008-07-26","2021-08-01"
29.4,"WH2XBA/1","Ham","Y","","","","","Penn Yan","NY","USA","na","FN12lq","42.6875","-77.0417","","op-W2ZM","IL","1","2014-02-28","2014-02-28"
29.7,"4X4","Other","Y","","","","","UNID","","XUA","xx","","","","","","IL","1","2015-01-13","2015-01-13"
37.5,"NRK","Other","Y","","","","","Grindavik","","ISL","eu","","","","100000","US Navy; 200bps encyrpted MSK","BRA  IL  NB","3","2004-10-03","2018-08-27"
40,"JJY","Time","Y","","","Cont","","Mount Ohtakadoya","","JPN","as","QM07ki","37.3542","140.875","50000","CW IDent H+15'40 H+45'40","CZE  DEU  FIN  FRA  GRC  SVN  NN  NW  SA  TA  VI  AZ  CA  IL  OR  UT","50","2002-01-24","2021-11-20"
40.75,"NAU","Other","Y","","","","","Aguada","PR","PTR","ca","","","","100000","US Navy; FIB MSK Signal","BRA  IL  NB  ON","8","2001-01-13","2022-10-21"
42.5,"SRC","Other","Y","","","","","Swedish Navy Varberg ?","","SWE","eu","","","","","MSK 200/79","GRC  POL  IL","4","2008-10-05","2015-12-24"
44.2,"SRC","Other","Y","","","","","Karlsbrorg","","SWE","eu","JO78fl","58.4792","14.4583","","","GRC  POL  SVN  IL","5","2008-08-20","2015-12-24"
45.5,"WH2XBA/4","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","op-W4DEX","IL","1","2014-02-28","2014-02-28"
45.9,"NSY","Other","Y","","","","","Niscemy","","ITA","eu","JM77fc","37.1042","14.4583","","US Navy; 200bps encyrpted MSK","GRC  POL  SVN  TA  BRA  IL  NB","12","2001-01-13","2021-08-01"
51.95,"GNY1","Other","Y","","","","","Thurso","","SCT","eu","","","","","UK Royal Navy; F1B 85Hz shift 50bps encypted signal","IL  NB","2","2004-10-03","2008-06-30"
51.95,"GYW1","Other","Y","","","","","Crimond","","SCT","eu","","","","","F1B 85 Hz shift / 50 Bd, encrypted traffic","GRC  POL  SVN  IL","4","2008-08-23","2020-10-15"
54,"NDI","Other","Y","","","","","US Navy NRTF / Awase, Okinawa","","RYI","as","PL36wh","26.3125","127.875","","FKS/MSK - U.S. Navy submarine broadcast station","GRC  POL  IL","3","2010-04-06","2013-10-12"
55.5,"NPG","Other","Y","","","","","Dixon","CA","USA","na","CM98ci","38.3542","-121.792","","","IL","1","2011-02-17","2011-02-17"
57.4,"GXH","Other","Y","","","","","Thurso","","SCT","eu","IO86go","56.6042","-3.4583","","","GRC  POL  SVN  BRA  IL","6","2008-07-27","2017-11-12"
57.4,"NRK","Other","Y","","","","","Grindavik","","ISL","eu","HP83su","63.8542","-22.4583","","US Navy - 200bps encyrpted MSK","GRC  POL  BRA  IL  NB","6","2004-10-03","2018-08-27"
60,"WWVB","Time","Y","","","","","Fort Collins","CO","USA","na","DN70lq","40.6875","-105.042","50000","See a very good official web site at http://www.boulder.nist.gov/timefreq/stations/wwvb.htm
This even includes photos and coverage maps.","DEU  HOL  ITA  TA  BRA  CA  IL  MI  NB  ON  TX","39","2002-06-06","2022-10-21"
62.6,"FUG","Other","Y","","","","","Brest","","FRA","eu","","","","","","BRA  IL","2","2010-10-28","2016-06-21"
65.8,"FUE","Other","Y","","","","","Kerlouan","","FRA","eu","IN78tp","48.6458","-4.375","","","GRC  POL  SVN  TA  BRA  IL","10","2001-10-23","2021-05-26"
68,"GBY20","Other","Y","","","","","Thurso","","SCT","eu","","","","","FSK (100Hz)","GRC  POL  IL","3","2008-09-27","2020-09-22"
68.5,"BPC","Time","Y","","","Cont","","Shangqiu City, Henan Province","","CHN","as","OM74wk","34.4375","115.875","100000","Began broadcasting 2002-04-25
Hours of operation: 0800-1200, 2200-2330UTC
Umbrella single-tower


References:
http://www.cl.cam.ac.uk/~mgk25/time/lf-clocks
http://www.longwave.de/TSS.pdf
http://www.time.ac.cn/serve/BPC-view.jpg
http://tinyurl.com/yq9kqn","CZE  DEU  FIN  FRA  GRC  ITA  SVN  NN  NW  SA  TA  VI  AZ  IL  OR  UT","27","2007-11-07","2021-11-21"
72.4,"WG2XRS/3","Ham","Y","","","","","Holden (WORCESTER)","CT","USA","na","FN42ch","42.3125","-71.7917","","","DEU  IL","2","2013-08-19","2013-10-14"
72.4,"WG2XRS/4","Ham","Y","","","","","Penn Yan (YATES)","NY","USA","na","FN12lg","42.2708","-77.0417","","QRSS-60 as XRS4","DEU  IL  UT","3","2013-08-17","2014-01-18"
74.2,"WG2XRS/5","Ham","Y","","","","","Stanfield (STANLY)","NC","USA","na","EM95tg","35.2708","-80.375","","","DEU  IL","2","2013-08-03","2014-01-06"
76.2,"CKN","Other","Y","","","","","Vancouver","BC","CAN","na","","","","","","IL","1","2010-11-28","2010-11-28"
77.5,"DCF77","Time","Y","","","","","Mainflingen","","DEU","eu","JO40ma","50.0208","9.0417","50000","Web Site: http://www.plicht.de/ekki/mainflin/","CZE  DNK  FIN  FRA  GRC  HOL  ITA  POL  SCT  SVN  SWE  NW  SA  TA  VI  BRA  NB","43","2001-10-04","2021-08-06"
81,"GYN2","Other","Y","","","","","Skelton","","ENG","eu","IO84nr","54.7292","-2.875","","F1B 85 Hz shift, encrypted","GRC  POL  SVN  TA  IL","6","2008-07-26","2016-02-18"
122.5,"CFH","Other","Y","","","","","Halifax Naval","NS","CAN","na","","","","","RTTY 75Bd","DEU  SVN  NB","3","2006-05-01","2008-09-23"
124,"CKN","Other","Y","","","","","Vancouver","BC","CAN","na","","","","","FSK","IL","1","2011-02-03","2011-02-03"
129.1,"DCF49","Other","Y","","","","","EFR Mainflingen","","DEU","eu","JO40ma","50.0208","9.0417","","ASCII 200Bd, 340Hz shift","FRA  GRC  ITA  POL  SVN  TA  BRA  IL","13","2008-07-26","2021-02-08"
133.15,"CKN","Other","Y","","","","","Vancouver","BC","CAN","na","","","","","FSK","IL","1","2011-02-03","2011-02-03"
135.9,"RTTY","Other","Y","","","","","Unknown RTTY Station","","XUU","xx","","","","","Steve Ratzlaf (2005-05-27): \'Any of you west coast guys may want to check 135.9kc. There\'s a very strong RTTY station recently come on the air. The lowfer list indicates there are naval exercises going on currently. Steve McDonald loops it 355/175 degrees. Here in Elgin, OR (NE Oregon), it loops 030/210. You California guys, it would be extremely strong, if coming from your general area. The Stockton comms station that used to be on 155kc might be a possibility. San Francisco, NMC? (Don\'t know if they have the capability to go that low.)\'

Phil Atchley (2005-05-28): \'It\'s very strong here, possibly Stockton. I couldn\'t get a \''decode\'' of any sort on it with Skysweeper. It appears to be 100Hz or less shift.\'

Michael Silvers (2005-05-28): \'I have this signal at S7 on my E-W EWE, it is down to S6 on the 154&deg;/334&deg; EWE. I wouldn\'t call it RTTY though. Perhaps it is Pactor? Besides the Mark and shift, it has a DGPS sound to
it.\'","CA  OR","3","2005-05-27","2005-05-28"
135.95,"NPG","Other","Y","","","","","Dixon","CA","USA","na","CM98ci","38.3542","-121.792","","200 baud MSK, 55.5 kHz alternate frequency","IL","1","2015-09-11","2015-09-11"
136,"DL0HOT","Ham","Y","","","","","Hohenstein-Ernstthal","","DEU","eu","JO60it","50.8125","12.7083","","","IL","1","2020-11-07","2020-11-07"
136,"KL7L","Ham","Y","","","","","Hart Lake","AK","USA","na","BP51ip","61.6458","-149.292","","","IL","1","2021-01-18","2021-01-18"
136.17,"DK7FC","Ham","Y","","","","","","","DEU","eu","","","","","","IL","1","2011-12-14","2011-12-14"
136.28,"WA1ZMS","Ham","Y","","","","","Forest","VA","USA","na","FM07jj","37.3958","-79.2083","","","NC","1","2017-11-12","2017-11-12"
136.3,"UNID","Other","Y","","","","","","","XUN","xx","","","","","unknown FSK source with 150Hz bandwidth","IL","1","2015-09-30","2015-09-30"
136.9,"KD0VBR","Ham","Y","","935","8.0","","Golden","CO","USA","na","DN90ww","40.9375","-100.125","","40Â°56'24""N   100Â°09'27""W","NE","1","2019-01-22","2019-01-22"
137,"CFH","Other","Y","","","","","Hailfax","NS","CAN","na","","","","","New Freq","IL","1","2010-11-12","2010-11-12"
137,"DL7NN","Ham","Y","","","","","Oberlungwitz","","DEU","eu","","","","","sending FST4W","IL","1","2021-09-25","2021-09-25"
137,"SOMETHING","Other","Y","","","","","Somewhere","","XUN","xx","","","","","UNID pulsing / tones - message #98117","MN","1","2019-01-13","2019-01-13"
137,"XES","Ham","Y","","","","","Holden","MA","USA","na","FN42ch","42.3125","-71.7917","","","IL","1","2008-10-08","2008-10-08"
137.5,"F4DTL","Ham","Y","","","","","Ris Orangis","","FRA","eu","JN18fp","48.6458","2.4583","","Nicolas","DEU  IL","2","2009-10-21","2012-12-08"
137.5,"VO1NA","Ham","Y","","","","","Torbay","NL","CAN","na","GN37or","47.7292","-52.7917","","Joe - SENDING NA","DEU  HOL  IL","3","2005-12-24","2013-11-01"
137.5,"XEB","Ham","Y","","","--","","Penn Yan","NY","USA","na","FN12","42.5","-77","","","TX","1","2013-12-31","2013-12-31"
137.5,"XNS","Ham","Y","","","","","Burlington","CT","USA","na","FN31","41.5","-73","","","TX","1","2013-12-31","2013-12-31"
137.7,"BDQ","Ham","Y","","","","","Delta","BC","CAN","na","","","","","","UT","1","2011-12-05","2011-12-05"
137.7,"Q","Ham","Y","","","","","Quartz Hill, Wellington","NI","NZL","oc","RE78is","-41.2292","174.708","4","120s dot DFCW LowFER","CA","2","2002-03-23","2003-09-13"
137.7,"SL","Ham","Y","","","","","Mayne Island","BC","CAN","na","","","","","","UT","1","2011-12-05","2011-12-05"
137.7,"VA3LK","Ham","Y","","","","","Westport","ON","CAN","na","FN14tq","44.6875","-76.375","","","MD","1","2005-01-01","2005-01-01"
137.7,"XGJ","Ham","Y","","","-","","Lowfer","MA","USA","na","FN42hi","42.3542","-71.375","","","NOR  IL  TX","3","2007-11-13","2013-12-31"
137.7,"XKO","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","Lowfer","HOL  IL  ON  TX  UT","5","2005-12-02","2013-12-31"
137.77,"WG2XLP","Ham","Y","","","","","Spartanburg","SC","USA","na","EM94bw","34.9375","-81.875","","","IL","1","2014-01-10","2014-01-10"
137.775,"XDW","Ham","Y","","","","","Bartlesville","OK","USA","na","EM26aq","36.6875","-95.9583","","Was in Anchorage AK but relocated.","HOL  ON","2","2005-12-02","2005-12-24"
137.776,"MP","Ham","Y","","","--","","London","ON","CAN","na","EN93ja","43.0208","-81.2083","","Operated by VE3OT","MD  ON  TX  UT","4","2005-01-01","2013-12-31"
137.778,"TIL","Ham","Y","","","","QRSS","Vancouver","BC","CAN","na","CN89lg","49.2708","-123.042","","","OR","1","2004-10-02","2004-10-02"
137.779,"VY1JA","Ham","Y","","","","QRSS60","Whitehorse","YT","CAN","na","","","","1","","OR","1","2006-09-11","2006-09-11"
137.78,"VE3OT","Ham","Y","","","","","London","ON","CAN","na","EN92jx","42.9792","-81.2083","","","IL","1","2015-10-08","2015-10-08"
147.3,"DDH47","Other","Y","","","","","Pinneberg","","DEU","eu","JO43uq","53.6875","9.7083","","FSK METEO","ENG  FRA  GRC  POL  SVN  IL","13","1997-12-13","2019-06-11"
153,"NRK","Other","Y","","","","","Ingoy","","NOR","eu","","","","","","IL","1","2011-02-27","2011-02-27"
153,"ROU","Other","Y","","","","","Brasov-Bucharest","","ROU","eu","","","","","","IL","1","2011-02-27","2011-02-27"
153,"VOR","Other","Y","","","","","Popova","","RUS","eu","","","","","","IL","1","2011-01-01","2011-01-01"
162,"ALS","Time","Y","","","","","Allouis","","FRA","eu","JN17ce","47.1875","2.2083","","AM broadcast with additional phase-shift keying of &Acirc;&plusmn;1 Rad (57 degrees)  /  2000 kW (1000 kW at night 00 - 06h) AM broadcast + T.S /// ID chaanged from TDF to ALS in 2017","FRA  GRC  POL  SVN  ON","45","2008-10-05","2022-11-27"
166.5,"XSR","Ham","Y","","","","","Jefferson","LA","USA","na","EL49wx","29.9792","-90.125","0.75","10s dot LowFER","CA","1","2002-12-22","2002-12-22"
171,"MEDI 1","Other","Y","","","","","Nador Province","","MRC","af","IM85nb","35.0625","-2.875","","Morocco - 35 02 34 N, 2 54 54 W  IM85nb","ON","21","2019-01-07","2022-10-20"
175,"ENNNT","Other","Y","","","","","UNID","","XUN","xx","","","","","From recording, pattern ENNNT ENGET EGENT EGNET NENNT NEGET sent with approx. 6 seconds between each group","CO","1","2016-01-30","2016-01-30"
175.315,"P","Ham","Y","","","","","Unknown","","XUU","xx","","","","","Jim Smith writes (2006-01-09): \'Slow CW.  Perfectly formed letter \'P\' sent continuously. No listing for such a LOWFER was found in my limited searching\'","CO","1","2006-01-09","2006-01-09"
181.82,"JH","Ham","Y","","","","","Spartanburg","SC","USA","na","","","","","USA lowfer sending QRSS60","IL","1","2019-12-20","2019-12-20"
182.2,"BRO","Ham","Y","","","","","Duluth","MN","USA","na","EN36us","46.7708","-92.2917","","","MD  ON","2","2005-01-01","2005-12-06"
182.835,"6R","Ham","Y","","","","","Eldorado Hills","CA","USA","na","CM98ls","38.7708","-121.042","","CW+DAID very slow ident with approx. 4 second DAID","OR","2","2012-01-12","2012-01-19"
183,"EUROPE 1","Other","Y","","","","","Felsberg","","DEU","eu","JN39ig","49.2708","6.7083","","49 16 49 N, 6 40 41 E  JN39ig","ON","6","2019-10-08","2019-12-04"
183.162,"PRK","Ham","Y","","","","","Saratoga","CA","USA","na","CM87xg","37.2708","-122.042","60","CW LowFER","CA","4","2002-04-14","2002-05-12"
183.3,"PLI","Ham","Y","2","","61.0","","Burbank","CA","USA","na","DM04te","34.1875","-118.375","","PSK31; Operated by Dave Curry","CA  CO  OR","59","1995-03-20","2008-09-30"
183.5,"MEL","Ham","Y","","","","","686 N. 21st St, San Jose","CA","USA","na","CM97bi","37.3542","-121.875","1","CW LowFER","CA","1","2002-04-07","2002-04-07"
183.5,"WD2X","Ham","Y","","","","","Burbank","CA","USA","na","DM04ue","34.1875","-118.292","","David F Curry - WD4PLI - -118.3010196 / 118&deg; 18' 3&quot; W","CA","1","2023-02-16","2023-02-16"
183.5,"WH2XVN","Ham","Y","","","","","Burbank","CA","USA","na","DM04ue","34.1875","-118.292","1","","UT  WA","5","2017-11-04","2021-12-12"
183.53,"WD2XFJ","Ham","Y","","3","120.0","","Burbank","CA","USA","na","DM04ue","34.1875","-118.292","","","CA  UT","9","2011-08-17","2017-05-03"
184.3,"XR","Ham","Y","","","","","Friendsville","TN","USA","na","EM75","35.5","-85","","","IL","1","2008-11-18","2008-11-18"
184.5,"JDH","Ham","Y","","","","","Bonaire","GA","USA","na","EM82mm","32.5208","-82.9583","","","MD","1","2005-01-01","2005-01-01"
185.18,"SIW","Ham","Y","","","","","Oswego","IL","USA","na","","","","","","IL","1","2009-12-03","2009-12-03"
185.185,"FAW","Ham","Y","","","","","Riverton","UT","USA","na","DN40am","40.5208","-111.958","","LOWFER","OR","1","2004-11-07","2004-11-07"
185.19,"HK","Other","Y","","","","","Hickory Hills","IL","USA","na","EN61cr","41.7292","-87.7917","","Lowfer sending QRSS3 on 185.194 kHz","IL","1","2019-02-13","2019-02-13"
185.29,"WG2XNI","Ham","Y","","","","","Denver","CO","USA","na","DM79nj","39.3958","-104.875","","","IL","1","2013-04-20","2013-04-20"
185.3,"AR","Ham","Y","","","","","Jacksonville","AR","USA","na","EM34wu","34.8542","-92.125","","Backup to WMS","IL","1","2012-10-28","2012-10-28"
185.3,"COV","Ham","Y","","","","","S. Coffeyville","OK","USA","na","EM26ex","36.9792","-95.625","","","IL","1","2008-11-28","2008-11-28"
185.3,"IO","Ham","Y","","","","","Swaton","MD","USA","na","FM09im","39.5208","-79.2917","","","IL","1","2010-02-26","2010-02-26"
185.3,"IP","Ham","Y","","","","","Agricola","MS","USA","na","EM50vq","30.6875","-88.2083","","","MD","1","2005-01-01","2005-01-01"
185.3,"K7PO","Ham","Y","","","","","Tonopah","AZ","USA","na","DM33nl","33.4792","-112.875","","","IL","1","2020-12-09","2020-12-09"
185.3,"MM","Other","Y","","","","","Lawrenceville","IL","USA","na","EM68dr","38.7292","-87.7083","","WALTER M MEEK - N8OOU
QRSS30","IL","1","2016-09-01","2016-09-01"
185.3,"MO","Ham","Y","","","","","Seneca","MO","USA","na","EM26rt","36.8125","-94.5417","","LOWFER","OR","1","2004-11-07","2004-11-07"
185.3,"MP","Ham","Y","","","","","London","ON","CAN","na","EN93ja","43.0208","-81.2083","","","IL","1","2008-11-13","2008-11-13"
185.3,"NC","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tj","35.3958","-80.375","","","MD","1","2005-01-01","2005-01-01"
185.3,"TAG","Ham","Y","","","","","Holden","MA","USA","na","FN42bi","42.3542","-71.875","","","IL  MD","2","2005-01-01","2008-12-05"
185.3,"TMO","Ham","Y","","","","","New Berlin","NY","USA","na","FN22io","42.6042","-75.2917","","","MD","1","2005-01-01","2005-01-01"
185.3,"USA","Ham","Y","","","","","Harwinton","CT","USA","na","FN31ls","41.7708","-73.0417","","","MD","1","2005-01-01","2005-01-01"
185.3,"UWL","Ham","Y","","","","","Edmond","OK","USA","na","","","","","","IL","1","2008-12-26","2008-12-26"
185.3,"VD","Ham","Y","","","","","Burlington","CT","USA","na","FN31ms","41.7708","-72.9583","","","MD","1","2005-01-01","2005-01-01"
185.3,"WA","Ham","Y","","","","","Andover","MA","USA","na","FN42ko","42.6042","-71.125","","","MD","1","2005-01-01","2005-01-01"
185.3,"WH2XIL","Ham","Y","","","","","Wayland","MA","USA","na","","","","","","IL","1","2014-08-19","2014-08-19"
185.3,"WH2XXP","Ham","Y","","","","","Tonopath","AZ","USA","na","DM33nl","33.4792","-112.875","","","IL","1","2021-01-14","2021-01-14"
185.3,"WM","Ham","Y","","","","","Ellsworth","NH","USA","na","","","","","","IL","3","2009-02-14","2014-11-20"
185.3,"XDW","Ham","Y","","","","","Bartlesville","OK","USA","na","","","","","","IL","1","2010-02-09","2010-02-09"
185.3,"XGI","Ham","Y","","","","","St. Francis","MN","USA","na","EN35hj","45.3958","-93.375","2","LOWFER","ON  OR","2","2004-11-07","2005-12-01"
185.5,"RLD","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","","MD","1","2005-01-01","2005-01-01"
185.5,"WE2XEB","Ham","Y","","","","","Penn Yan","NY","USA","na","FN12lp","42.6458","-77.0417","","","IL","1","2010-01-10","2010-01-10"
185.56,"BR","Ham","Y","","","","","Buras","LA","USA","na","EL59hh","29.3125","-89.375","","Was EMP - CW and USB","IL","1","2011-11-20","2011-11-20"
185.62,"EMP","Ham","Y","","","","","Empire","LA","USA","na","","","","","","IL","1","2010-12-28","2010-12-28"
186.7,"LEK","Ham","Y","","","","","Aitkin","MN","USA","na","EN36ek","46.4375","-93.625","","","MD","1","2005-01-01","2005-01-01"
186.8,"SJ","Ham","Y","","","","","East Haven","CT","USA","na","FN31nh","41.3125","-72.875","","","IL","1","2008-11-30","2008-11-30"
187.2,"KE","Ham","Y","","","","","Southmont","NC","USA","na","EM95up","35.6458","-80.2917","","","IL","1","2021-01-18","2021-01-18"
187.2,"PBO","Ham","Y","","","","","Stroudsburg","PA","USA","na","FN21ha","41.0208","-75.375","","","IL","1","2010-02-04","2010-02-04"
187.3,"VO1NA","Ham","Y","","","","","Torbay","NL","CAN","na","GN37or","47.7292","-52.7917","","","IL","1","2008-11-25","2008-11-25"
187.4,"WMS","Ham","Y","","","","","Jacksonville","AR","USA","na","EM34wu","34.8542","-92.125","","","IL","1","2008-11-25","2008-11-25"
187.5,"MBD","Ham","Y","","","","","Westminster (AB0CW)","CO","USA","na","DM79kv","39.8958","-105.125","1","Also heard by Tony in CO.  Appears to be a amateur Lowfer beacon testing.  -- QRSS30 and 12wpm CW, Part 15 beacon operated by AB0CW.  Operation is intermittant, beaconing by request.","CO  IL","3","2010-11-11","2012-12-29"
187.5,"WI","Ham","Y","","","","QRSS30","Aiken","SC","USA","na","EM93dm","33.5208","-81.7083","","","IL","1","2013-02-22","2013-02-22"
188.7,"TIM","Ham","Y","","","","YYYY.MM.DD hh:mm  KHZ","Hickory Hills","IL","USA","na","EN61br","41.7292","-87.875","","","IL","1","2021-01-21","2021-01-21"
188.8,"EAR","Ham","Y","","","","","SAltford","ON","CAN","na","EN93dr","43.7292","-81.7083","","","IL","1","2008-11-13","2008-11-13"
189,"RUV","Other","Y","","","","","Eidar","","ISL","eu","HP84av","64.8958","-23.9583","100000","190.5m guyed mast","ON  PE","34","2019-10-14","2022-03-28"
189.3,"TH","Ham","Y","","","","","Colts Neck","NJ","USA","na","FN20mm","40.5208","-74.9583","","","IL  MD  NY","3","2005-01-01","2016-10-27"
189.5,"XMGR","Ham","Y","","","","","Helena","AL","USA","na","EM63oh","33.3125","-86.7917","","","MD","1","2005-01-01","2005-01-01"
189.8,"RM","Other","Y","","","","QRSS30","(QRSS-30)","MN","USA","na","EN36uu","46.8542","-92.2917","","","IL","1","2009-11-07","2009-11-07"
189.95,"WEB","Ham","Y","","","","","Rosenberg","TX","USA","na","EL29cn","29.5625","-95.7917","","Operator: Bill Bowers, txbill77@ev1.net","CO  IL  MD","3","2005-01-01","2008-12-11"
198,"BBC","Time","Y","","5","","","Droitwich","","ENG","eu","IO82wh","52.3125","-2.125","500000","BBC broadcast station with timecode","GRC  POL  ON","68","2010-04-07","2022-11-27"
198,"BBC4","Other","Y","","","","","Droitwhich","","ENG","eu","","","","","","TA  ON","3","2021-12-23","2023-06-02"
200,"CDE","NDB","Y","1034","1034","8.4","","Ciudad Del Este","","PRG","sa","GG24nm","-25.4792","-54.875","1000","","BRA  PRG  NS","26","2001-02-17","2020-08-30"
200,"YDL","NDB","Y","","410","10.067","DAID","Dease Lake","BC","CAN","na","CO58ak","58.4375","-129.958","","","FIN  NOR  AB  AZ  BC  CA  CO  IL  MI  MN  MO  MT  NC  NE  NS  NV  OH  ON  OR  PA  TN  TX  UT  WA  WI  YT  HI","277","1988-09-02","2026-05-25"
201,"CE","NDB","Y","398","398","6.18","","&#039;Kobra&#039;  Crestview","FL","USA","na","EM60ru","30.8542","-86.5417","","","AZ  CO  FL  IL  MO  MS  NC  OH  PA  TN  TX","67","1998-01-24","2026-01-27"
